time,level,latitude,longitude,co_conc,no2_conc,o3_conc,pm10_conc,pm2p5_conc
0 days 15:00:00,0.0,48.95,2.15,253.6772,17.336933,37.339615,15.647315,15.11475
0 days 15:00:00,0.0,48.95,2.25,276.14114,22.783443,33.62506,20.941568,17.069765
0 days 15:00:00,0.0,48.95,2.35,286.58374,24.227728,30.771637,22.178879,17.768656
0 days 15:00:00,0.0,48.95,2.45,283.71826,25.278826,27.562399,21.840717,18.636398
0 days 15:00:00,0.0,48.85,2.15,250.33934,17.382927,37.635048,13.722682,10.638963
0 days 15:00:00,0.0,48.85,2.25,274.5743,24.82945,31.96947,20.087297,16.567844
0 days 15:00:00,0.0,48.85,2.35,291.5747,29.155788,27.551365,23.071377,20.195223
0 days 15:00:00,0.0,48.85,2.45,303.33698,28.582012,27.260866,25.090939,22.170303
0 days 15:00:00,0.0,48.75,2.15,243.66365,14.9463625,40.35198,13.7448225,12.566608
0 days 15:00:00,0.0,48.75,2.25,257.0155,20.243267,33.654884,15.385011,13.526438
0 days 15:00:00,0.0,48.75,2.35,272.58194,25.650482,29.919249,18.260065,16.05047
0 days 15:00:00,0.0,48.75,2.45,289.60883,30.639309,28.180935,22.449625,20.810873
0 days 15:00:00,50.0,48.95,2.15,247.00171,15.531557,38.62381,15.483579,15.082551
0 days 15:00:00,50.0,48.95,2.25,260.78818,20.77785,33.987038,18.533285,17.727015
0 days 15:00:00,50.0,48.95,2.35,266.54254,22.354828,32.422623,18.668657,18.797325
0 days 15:00:00,50.0,48.95,2.45,270.36673,23.459501,30.662521,19.04371,18.435516
0 days 15:00:00,50.0,48.85,2.15,240.3259,16.060833,39.339073,12.382316,11.002586
0 days 15:00:00,50.0,48.85,2.25,258.82788,22.422195,32.92327,19.279354,16.763525
0 days 15:00:00,50.0,48.85,2.35,291.57468,26.761713,29.419733,22.945982,20.904589
0 days 15:00:00,50.0,48.85,2.45,298.2656,28.988676,27.779139,22.384512,21.966204
0 days 15:00:00,50.0,48.75,2.15,236.98805,14.162135,40.41195,13.504973,10.645553
0 days 15:00:00,50.0,48.75,2.25,247.00171,19.334667,36.289837,15.501996,11.624979
0 days 15:00:00,50.0,48.75,2.35,263.33942,22.564957,30.587637,18.032097,15.596955
0 days 15:00:00,50.0,48.75,2.45,283.5927,25.526392,27.806005,22.26892,21.24273
1 days 15:00:00,0.0,48.95,2.15,247.23181,11.92893,38.14221,17.191025,15.113457
1 days 15:00:00,0.0,48.95,2.25,264.91898,18.563467,33.76727,16.503887,14.015789
1 days 15:00:00,0.0,48.95,2.35,273.02805,21.608498,33.066093,16.924614,14.066721
1 days 15:00:00,0.0,48.95,2.45,258.0848,18.55369,34.65908,16.314713,13.513748
1 days 15:00:00,0.0,48.85,2.15,240.65002,12.256348,38.94774,14.670345,13.213917
1 days 15:00:00,0.0,48.85,2.25,263.85373,17.325815,34.8126,16.22922,13.404876
1 days 15:00:00,0.0,48.85,2.35,277.8204,24.441431,30.304646,17.15301,13.504451
1 days 15:00:00,0.0,48.85,2.45,257.60663,17.16398,36.870922,15.715526,12.564133
1 days 15:00:00,0.0,48.75,2.15,234.56187,9.687935,40.769577,14.4910755,13.064458
1 days 15:00:00,0.0,48.75,2.25,241.7214,12.173201,38.52218,14.714001,12.660991
1 days 15:00:00,0.0,48.75,2.35,254.77948,16.979355,35.36014,15.264345,12.762506
1 days 15:00:00,0.0,48.75,2.45,246.52968,13.489737,39.708275,14.694717,11.997699
1 days 15:00:00,50.0,48.95,2.15,232.31415,10.643309,40.631466,16.688318,15.185258
1 days 15:00:00,50.0,48.95,2.25,247.33548,16.034758,36.7332,15.922182,13.964876
1 days 15:00:00,50.0,48.95,2.35,238.04044,19.468456,35.295673,16.025467,13.55647
1 days 15:00:00,50.0,48.95,2.45,222.91406,16.298141,36.693638,14.944873,12.739697
1 days 15:00:00,50.0,48.85,2.15,230.33202,10.597159,41.013145,14.632803,13.3652315
1 days 15:00:00,50.0,48.85,2.25,253.71138,14.078307,38.39523,15.628102,13.010365
1 days 15:00:00,50.0,48.85,2.35,249.25417,20.10935,36.62717,15.442764,13.092116
1 days 15:00:00,50.0,48.85,2.45,225.45485,16.00216,38.878513,14.472902,12.142025
1 days 15:00:00,50.0,48.75,2.15,213.50945,7.3774343,43.27761,14.225179,12.408088
1 days 15:00:00,50.0,48.75,2.25,217.15799,9.730105,42.32842,14.285618,12.080442
1 days 15:00:00,50.0,48.75,2.35,216.44801,14.290901,40.212906,13.681983,11.325292
1 days 15:00:00,50.0,48.75,2.45,208.62988,11.469479,41.15593,13.418173,11.374212
2 days 15:00:00,0.0,48.95,2.15,213.0982,12.8808975,48.91249,7.714476,4.827385
2 days 15:00:00,0.0,48.95,2.25,212.23328,19.026281,43.09183,8.016514,4.3874025
2 days 15:00:00,0.0,48.95,2.35,228.98526,22.410767,41.554985,7.739402,4.405493
2 days 15:00:00,0.0,48.95,2.45,218.24458,19.644995,42.789772,7.635265,4.078629
2 days 15:00:00,0.0,48.85,2.15,198.504,9.861986,49.884563,6.3824644,3.6841073
2 days 15:00:00,0.0,48.85,2.25,214.02817,17.468517,44.926014,7.213771,3.9834304
2 days 15:00:00,0.0,48.85,2.35,235.46678,23.172626,42.618923,7.6338153,4.247539
2 days 15:00:00,0.0,48.85,2.45,208.08644,18.841654,44.743366,7.5600324,3.8585029
2 days 15:00:00,0.0,48.75,2.15,195.7837,7.0619783,52.81196,6.078665,3.421505
2 days 15:00:00,0.0,48.75,2.25,201.30707,10.020238,50.669636,6.654744,3.6440752
2 days 15:00:00,0.0,48.75,2.35,208.98593,15.44931,46.38537,6.760985,3.7836685
2 days 15:00:00,0.0,48.75,2.45,203.44165,11.872879,50.663986,6.823171,3.7097151
2 days 15:00:00,50.0,48.95,2.15,184.64262,8.191815,52.928925,6.0654488,4.7342
2 days 15:00:00,50.0,48.95,2.25,194.80464,15.752444,47.381943,8.330261,4.3783035
2 days 15:00:00,50.0,48.95,2.35,196.78824,18.051647,45.142853,7.1804605,4.275914
2 days 15:00:00,50.0,48.95,2.45,192.6298,16.64974,47.14927,6.1018286,4.284114
2 days 15:00:00,50.0,48.85,2.15,174.51881,8.101754,54.57308,6.145484,3.875083
2 days 15:00:00,50.0,48.85,2.25,183.61592,12.955017,50.507835,7.2998605,3.9094875
2 days 15:00:00,50.0,48.85,2.35,185.44957,15.079973,47.27599,7.4998355,3.8586125
2 days 15:00:00,50.0,48.85,2.45,181.90004,15.29369,50.204433,6.2413507,3.9005063
2 days 15:00:00,50.0,48.75,2.15,166.37724,5.4836245,56.80755,5.7226543,3.5906384
2 days 15:00:00,50.0,48.75,2.25,170.30138,6.768854,55.37091,6.145484,3.7193036
2 days 15:00:00,50.0,48.75,2.35,171.01964,9.103264,54.070404,6.1745877,3.541739
2 days 15:00:00,50.0,48.75,2.45,170.99644,8.80441,53.74175,6.0800004,3.6783335
3 days 15:00:00,0.0,48.95,2.15,225.40912,14.201535,39.692135,7.8212137,4.4027786
3 days 15:00:00,0.0,48.95,2.25,228.77266,17.590626,35.204723,8.010573,4.898638
3 days 15:00:00,0.0,48.95,2.35,228.13237,20.734976,32.82125,8.86304,5.5327263
3 days 15:00:00,0.0,48.95,2.45,230.36041,22.61996,29.123018,8.764118,6.5058002
3 days 15:00:00,0.0,48.85,2.15,218.396,14.394519,41.054592,7.0103707,3.8791797
3 days 15:00:00,0.0,48.85,2.25,223.18472,18.152195,36.158833,8.714323,4.970218
3 days 15:00:00,0.0,48.85,2.35,243.37323,23.752977,31.101225,9.581655,5.9832673
3 days 15:00:00,0.0,48.85,2.45,231.68895,27.10414,29.881615,9.303335,6.3200645
3 days 15:00:00,0.0,48.75,2.15,210.94951,11.436884,43.388973,6.402388,3.3833203
3 days 15:00:00,0.0,48.75,2.25,216.27051,15.251348,40.411957,7.0713215,3.4415278
3 days 15:00:00,0.0,48.75,2.35,226.79155,20.165262,35.15255,8.145278,4.0172668
3 days 15:00:00,0.0,48.75,2.45,228.01596,21.543318,32.697617,8.12345,4.645727
3 days 15:00:00,50.0,48.95,2.15,199.88023,9.676052,42.42203,6.47087,4.3245907
3 days 15:00:00,50.0,48.95,2.25,216.72543,14.833235,38.289486,7.598047,4.505935
3 days 15:00:00,50.0,48.95,2.35,223.94887,16.789331,34.391376,9.157347,5.937551
3 days 15:00:00,50.0,48.95,2.45,221.07986,18.925478,31.454292,8.952199,6.176805
3 days 15:00:00,50.0,48.85,2.15,201.61691,9.710797,42.551136,5.947072,3.5578296
3 days 15:00:00,50.0,48.85,2.25,218.07831,17.187078,39.010048,7.8516536,4.777604
3 days 15:00:00,50.0,48.85,2.35,226.87585,19.606888,35.375706,8.819669,5.8556395
3 days 15:00:00,50.0,48.85,2.45,227.32695,23.74116,31.817764,8.707175,6.2204604
3 days 15:00:00,50.0,48.75,2.15,201.24652,8.826747,46.032944,5.793936,3.2537599
3 days 15:00:00,50.0,48.75,2.25,201.40317,11.06625,43.986645,5.950568,3.45608
3 days 15:00:00,50.0,48.75,2.35,213.60472,16.540989,38.831787,6.6145844,4.0956535
3 days 15:00:00,50.0,48.75,2.45,213.76572,18.165474,35.615814,7.180802,4.4596786
4 days 15:00:00,0.0,48.95,2.15,300.14374,22.811537,40.854958,20.943262,13.6341715
4 days 15:00:00,0.0,48.95,2.25,312.62042,37.144535,32.770416,24.0574,13.792665
4 days 15:00:00,0.0,48.95,2.35,327.63754,42.345493,32.11353,24.45195,13.491764
4 days 15:00:00,0.0,48.95,2.45,334.68317,39.49754,28.202438,22.232328,12.203721
4 days 15:00:00,0.0,48.85,2.15,270.3444,25.241339,34.199516,18.624163,11.612691
4 days 15:00:00,0.0,48.85,2.25,303.74533,40.809555,25.845625,22.3623,12.539523
4 days 15:00:00,0.0,48.85,2.35,321.8834,50.282326,21.830105,24.729517,15.00522
4 days 15:00:00,0.0,48.85,2.45,331.77414,51.748306,17.366022,23.048628,13.884993
